"NAISTテキストコーパスの記事番号";"本アノテーションデータにおける記事ID"
"950101003";"911075408"
"950101004";"911075409"
"950101008";"911075410"
"950101009";"911075411"
"950101010";"911075412"
"950101011";"911075413"
"950101014";"911075414"
"950101015";"911075415"
"950101016";"911075416"
"950101018";"911075417"
"950101019";"911075418"
"950101020";"950190000"
"950101021";"911075419"
"950101022";"911075420"
"950101024";"911075421"
"950101031";"911075422"
"950101032";"911075423"
"950101033";"911075424"
"950101034";"911075425"
"950101037";"911075426"
"950101038";"911075427"
"950101039";"911075428"
"950101040";"911075429"
"950101041";"911075430"
"950101044";"911075431"
"950101046";"911075432"
"950101048";"911075433"
"950101050";"911075434"
"950101052";"911075435"
"950101053";"911075436"
"950101054";"911075437"
"950101055";"911075438"
"950101056";"911075439"
"950101060";"911075440"
"950101061";"911075441"
"950101067";"911075442"
"950101068";"911075443"
"950101069";"911075444"
"950101070";"911075445"
"950101071";"911075446"
"950101073";"911075447"
"950101074";"911075448"
"950101075";"911075449"
"950101077";"911075450"
"950101078";"911075451"
"950101080";"911075452"
"950101083";"911075453"
"950101091";"911075454"
"950101092";"911075455"
"950101093";"911075456"
"950101095";"911075457"
"950101101";"911075458"
"950101102";"911075459"
"950101103";"911075460"
"950101104";"911075461"
"950101105";"911075462"
"950101106";"911075463"
"950101108";"911075464"
"950101109";"911075465"
"950101110";"911075466"
"950101111";"911075467"
"950101114";"911075468"
"950101115";"911075469"
"950101116";"911075470"
"950101118";"911075471"
"950101119";"911075472"
"950101120";"911075473"
"950101134";"911075474"
"950101136";"911075475"
"950101139";"911075476"
"950101142";"911075477"
"950101143";"911075478"
"950101144";"911075479"
"950101146";"911075480"
"950101147";"911075481"
"950101148";"911075482"
"950101149";"911075483"
"950101151";"911075484"
"950101152";"911075485"
"950101156";"911075486"
"950101157";"911075487"
"950101158";"911075488"
"950101159";"911075489"
"950101160";"911075490"
"950101161";"911075491"
"950101162";"911075492"
"950101163";"911075493"
"950101164";"911075494"
"950101165";"911075495"
"950101166";"911075496"
"950101167";"911075497"
"950101168";"911075498"
"950101169";"911075499"
"950101171";"911075500"
"950101172";"911075501"
"950101174";"911075502"
"950101174";"911095459"
"950103001";"911095408"
"950103002";"911095409"
"950103004";"911095410"
"950103005";"911095411"
"950103008";"911095412"
"950103009";"911095413"
"950103010";"911095414"
"950103011";"911095415"
"950103013";"911095416"
"950103014";"911095417"
"950103015";"911095418"
"950103016";"911095419"
"950103018";"950190001"
"950103019";"911095420"
"950103020";"911095421"
"950103021";"911095422"
"950103022";"911095423"
"950103023";"911095424"
