ID,記事ID,文番号,述語,述語位置,本文切り抜き,語義,コメント
90,911075410,25,展望する,42,戦後五,18025920-3_0-0-2-0-0,
231,911075413,1,囲む,7,今月中,04029070-1_0-0-0-0-0,
254,911075413,8,展望し,18,戦後五,18025920-3_0-0-2-0-0,
312,911075415,7,傾い,33,久保氏,04040240-5_0-0-4-0-0,「どっちかに」とか、「どこかに」むかって、気持ちが傾くなので、着点ではなく、方向をつけていいと思った。
346,911075415,17,近付か,24,このた,17002300-4_1-0-3-0-0,
420,911075419,5,アップし,52,死亡数,00020510-1_0-0-1-0-0,
426,911075419,8,流行し,12,死亡数,28014660-2_0-0-1-0-0,
446,911075421,0,座っ,12,来年一,13022810-4_0-0-3-0-0,
486,911075421,14,割れ,31,しかし,29009220-6_0-0-3-0-0,
541,911075422,5,加入さ,25,「ＮＡ,05007150-2_0-0-1-0-0,
546,911075422,6,加入さ,19,その上,05007150-2_0-0-1-0-0,
570,911075422,9,加入する,77,共和党,05007150-2_0-0-1-0-0,
591,911075423,5,通し,16,村の衆,19014420-5_1-0-1-2-0,28057の例文に「ベルトをズボンに通す」があったから、28057にしていたが、やっぱり語義があっていないと思うので、28056に変更した。
619,911075423,19,明ける,5,夜も白,00011960-2_0-0-1-0-0,
700,911075429,0,打ち切っ,64,１日付,02009090-3_0-0-2-0-0,
700,911075429,0,打ち切っ,64,１日付,-3,
717,911075430,3,自覚し,19,「今の,11006650-3_0-0-2-0-0,
874,911075440,1,刻ん,47,それは,06009680-4_0-0-3-0-0,材料タグを付けなくなるなら、対象にすること。素材を刻むだけで、変化はないから、変化前にはならない。
908,911075441,0,受賞し,11,横尾忠,12013540-1_0-0-0-0-0,
930,911075441,9,受賞し,14,したが,12013540-1_0-0-0-0-0,
1030,911075446,0,埋まっ,20,建設工,02014430-3_0-0-2-0-0,
1034,911075446,2,突破し,37,一昨年,19026500-3_0-0-2-0-0,
1146,911075447,10,遂げ,35,香港は,19021100-3_0-0-2-0-0,
1147,911075447,11,雇う,17,中流以,27007360-2_0-0-1-0-0,ヲ格に｢役割」をつけたが、その役割を担う人と考えて、対象（人）でもいいと思う。
1253,911075448,4,巻い,15,当時の,25004210-3_0-0-2-0-0,着点のニ格はあったほうがいいと思ったから。
1335,911075448,39,伸び,21,日本は,20050440-4_0-0-3-0-0,ガ格は、「日本」でいいのか迷う。細かいことを言えば、「香港在住日本人」なのだが、一応「日本」にしておく。
1338,911075448,40,生活し,35,米国や,14002260-3_0-0-2-0-0,
1358,911075449,6,名乗っ,20,徳川幕,20012520-3_0-0-2-0-0,「一世名人」を役割にしたが、対象にすべきか？
1360,911075449,7,名乗り,27,以来、,20012520-3_0-0-2-0-0,「歴代名人」を役割にしたが、対象にすべきか？
1415,911075449,22,退け,54,大山は,12049930-3_0-0-2-0-0,
1417,911075449,22,合わせ,65,大山は,00033600-2_0-0-1-0-0,
1458,911075450,2,再現し,74,第３６,10003050-1_0-0-0-0-0,
1593,911075451,19,名乗る,53,このよ,20012520-3_0-0-2-0-0,
1677,911075452,11,明ける,2,一夜明,00011960-2_0-0-1-0-0,
1772,911075457,3,更新し,35,昨年は,09014180-2_0-0-1-0-0,「世界記録」は、対象（事態）にしたが、基準点になるか？
1845,911075461,14,出馬し,7,「もし,12015920-5_0-0-4-0-0,
1872,911075464,3,合わせ,6,下谷、,00033600-2_0-0-1-0-0,
1881,911075465,1,埋まっ,37,全国の,02014430-4_0-0-3-0-0,
1884,911075465,3,吹か,6,冷たい,23009680-2_1-0-1-0-0,
1906,911075467,1,乗せ,53,調べに,20048720-2_0-0-1-0-0,
1906,911075467,1,乗せ,53,調べに,-4,
1984,911075474,4,知り合っ,11,二人は,12049390-1_0-0-0-0-0,
1984,911075474,4,知り合っ,11,二人は,-3,
1987,911075474,6,出会っ,0,出会っ,18001350-2_0-0-1-0-0,26562と迷ったが、「モーターショーで出会った」だから、26558でいいと思った。
2048,911075475,2,取り出し,55,二時間,19034830-2_0-0-1-0-0,
2048,911075475,2,取り出し,55,二時間,-3,
2050,911075475,3,囲ま,3,知人に,04029070-1_0-0-0-0-0,
2060,911075475,8,劣ら,10,玲子さ,03022310-2_0-0-1-0-0,
2078,911075475,15,思い込ん,38,関野さ,03027270-2_0-0-1-0-0,ヲ格は「こと」なので、「対象（人）」にしないで、｢対象」にした。
2078,911075475,15,思い込ん,38,関野さ,-3,
2084,911075475,18,知り合っ,0,知り合,12049390-1_0-0-0-0-0,
2084,911075475,18,知り合っ,0,知り合,-3,
2107,911075476,1,刻む,29,２９回,06009680-5_0-0-4-0-0,ガ格は、動作主ではないと思うので、経験者にしたが、人にしてしまっていいのか迷った。対象にすべきか？一応「誰かが」と思うので、経験者にしておく。
2155,911075476,17,明け,32,日本に,00011960-3_0-0-2-0-0,
2196,911075478,2,退け,19,２４回,12049930-3_0-0-2-0-0,
2216,911075478,9,拾っ,23,先行し,22031370-4_1-0-2-0-0,
2220,911075478,11,味わっ,6,初めて,00015990-4_0-0-3-0-0,
2334,911075481,24,合流し,10,２つの,09024070-3_0-0-2-0-0,
2351,911075482,4,動かし,61,「底な,02004790-5_0-0-4-0-0,
2431,911075485,1,競う,48,米国の,06014040-1_0-0-0-0-0,「ルイ・ヴィトンカップ」が「（優勝）杯」なら、ヲ格にするが、レースの名前と思うので、ヲ格にしない。
2433,911075485,2,展望し,22,シチズ,18025920-3_0-0-2-0-0,
2449,911075485,6,巻く,52,強風で,-2,ニ格は原因にしたが、対象にすべきだったか？また、ガ格は経験者にした。
2481,911075485,20,抜け,31,ラウン,-2,「気を抜く」は慣用句で、この「抜ける」は「抜く」の可能の意味を含む動詞であるとして、ヲ格は対象にせずに、慣用にした。また、語義も「張りつめていた気持ちゆるめる」の語義に該当するものがないので、慣用句にした。
