ID,記事ID,文番号,述語,述語位置,ガ格,ガ文ID,ガ位置,ヲ格,ヲ文ID,ヲ位置,ニ格,ニ文ID,ニ位置,本文書き出し,意味役割
90,911075410,25,展望する,42,日米,25,46,二十一世紀,25,36,,-1,-1,戦後五,"ガ:動作主 ヲ:対象 "
231,911075413,1,囲む,7,学者グループ,1,9,首相,1,4,,-1,-1,今月中,"ガ:動作主 ヲ:対象（人） "
254,911075413,8,展望し,18,村山富市首相,6,0,五十年,8,14,,-1,-1,戦後五,"ガ:動作主 ヲ:対象 "
312,911075415,7,傾い,33,武村氏,7,26,,-1,-1,連携,7,30,久保氏,"ガ:経験者？ ニ:対象（事態） ニ:方向？ "
346,911075415,17,近付か,24,離党者,17,5,,-1,-1,新進党,17,20,このた,"ガ:動作主 ニ:対象 ニ:方向？ "
420,911075419,5,アップし,52,自然増加数,5,29,,-1,-1,,-1,-1,死亡数,"ガ:対象 "
426,911075419,8,流行し,12,インフルエンザ,8,39,,-1,-1,,-1,-1,死亡数,"ガ:対象 "
446,911075421,0,座っ,12,だれ,0,19,,-1,-1,座,0,10,来年一,"ガ:経験者 ニ:対象？ "
486,911075421,14,割れ,31,「支持」率,14,25,,-1,-1,,-1,-1,しかし,"ガ:対象 "
541,911075422,5,加入さ,25,東欧四カ国,5,19,,-1,-1,ＮＡＴＯ,5,1,「ＮＡ,"ガ:動作主 ニ:着点 "
546,911075422,6,加入さ,19,四カ国,6,15,,-1,-1,ＮＡＴＯ,6,5,その上,"ガ:動作主 ニ:着点 "
570,911075422,9,加入する,77,国々,9,69,,-1,-1,ＮＡＴＯ,9,72,共和党,"ガ:動作主 ニ:着点 "
591,911075423,5,通し,16,衆,5,2,手,5,14,民族衣装,5,9,村の衆,"ガ:動作主 ヲ:対象（身体部分） ニ:着点 "
619,911075423,19,明ける,5,夜,19,0,,-1,-1,,-1,-1,夜も白,"ガ:対象 "
700,911075429,0,打ち切っ,64,中国,0,20,供給,0,56,,-1,-1,１日付,"ガ:動作主 ヲ:対象（事態） "
717,911075430,3,自覚し,19,人物,3,33,責任,3,16,,-1,-1,「今の,"ガ:動作主？ ヲ:対象 "
874,911075440,1,刻ん,47,,-1,-1,素材,1,3,,-1,-1,それは,"ガ:動作主 ヲ:対象 ガ:動作主 ヲ:材料 "
908,911075441,0,受賞し,11,横尾忠則,0,0,毎日芸術賞,0,5,,-1,-1,横尾忠,"ガ:経験者 ヲ:対象 "
930,911075441,9,受賞し,14,横尾,9,5,毎日芸術賞,9,8,,-1,-1,したが,"ガ:経験者 ヲ:対象 "
1030,911075446,0,埋まっ,20,時代廣場,0,12,,-1,-1,雪,0,18,建設工,"ガ:場所 ニ:内容物 "
1034,911075446,2,突破し,37,人口,2,5,十万人,2,33,,-1,-1,一昨年,"ガ:対象 ヲ:基準点 "
1146,911075447,10,遂げ,35,香港,10,0,経済発展,10,30,,-1,-1,香港は,"ガ:経験者？ ヲ:対象（事態） "
1147,911075447,11,雇う,17,共働き家庭,11,5,メード,11,13,,-1,-1,中流以,"ガ:動作主 ヲ:役割 "
1253,911075448,4,巻い,15,インド人,4,18,ターバン,4,10,,-1,-1,当時の,"ガ:動作主 ヲ:対象 ニ:着点（身体部分） "
